2024-12-26 14:29:43.277 [main] INFO  com.example.ssd.SpringBootDemoApplication - Starting SpringBootDemoApplication using Java 17 with PID 8396 (D:\MyProjects\daily-coding\spring-boot-demo\target\classes started by zhang in D:\MyProjects\daily-coding)
2024-12-26 14:29:43.278 [main] INFO  com.example.ssd.SpringBootDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-26 14:29:43.983 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-26 14:29:43.985 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-26 14:29:44.004 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2024-12-26 14:29:44.490 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-12-26 14:29:44.496 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-12-26 14:29:44.497 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-26 14:29:44.497 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-12-26 14:29:44.540 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-26 14:29:44.540 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1225 ms
2024-12-26 14:29:44.719 [main] INFO  org.redisson.Version - Redisson 3.31.0
2024-12-26 14:29:45.065 [redisson-netty-1-6] INFO  org.redisson.connection.ConnectionsHolder - 1 connections initialized for 111.229.106.212/111.229.106.212:6379
2024-12-26 14:29:46.570 [redisson-netty-1-19] INFO  org.redisson.connection.ConnectionsHolder - 24 connections initialized for 111.229.106.212/111.229.106.212:6379
2024-12-26 14:29:47.093 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2024-12-26 14:29:47.656 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-12-26 14:29:47.719 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-12-26 14:29:47.730 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2024-12-26 14:29:47.753 [main] INFO  com.example.ssd.SpringBootDemoApplication - Started SpringBootDemoApplication in 4.862 seconds (process running for 5.455)
2024-12-26 14:29:47.981 [RMI TCP Connection(2)-192.168.0.87] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-26 14:29:47.981 [RMI TCP Connection(2)-192.168.0.87] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-12-26 14:29:47.981 [RMI TCP Connection(1)-192.168.0.87] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-12-26 14:29:47.982 [RMI TCP Connection(2)-192.168.0.87] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-12-26 14:29:48.609 [RMI TCP Connection(1)-192.168.0.87] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3ccf7c55
2024-12-26 14:29:48.615 [RMI TCP Connection(1)-192.168.0.87] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-12-26 14:32:43.021 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-12-26 14:32:43.025 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-12-26 14:32:48.573 [main] INFO  com.example.ssd.SpringBootDemoApplication - Starting SpringBootDemoApplication using Java 17 with PID 23280 (D:\MyProjects\daily-coding\spring-boot-demo\target\classes started by zhang in D:\MyProjects\daily-coding)
2024-12-26 14:32:48.575 [main] INFO  com.example.ssd.SpringBootDemoApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-26 14:32:49.183 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-12-26 14:32:49.184 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-12-26 14:32:49.204 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
2024-12-26 14:32:49.638 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-12-26 14:32:49.644 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2024-12-26 14:32:49.645 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-26 14:32:49.645 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2024-12-26 14:32:49.688 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-26 14:32:49.689 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1076 ms
2024-12-26 14:32:49.860 [main] INFO  org.redisson.Version - Redisson 3.31.0
2024-12-26 14:32:50.197 [redisson-netty-1-6] INFO  org.redisson.connection.ConnectionsHolder - 1 connections initialized for 111.229.106.212/111.229.106.212:6379
2024-12-26 14:32:51.808 [redisson-netty-1-19] INFO  org.redisson.connection.ConnectionsHolder - 24 connections initialized for 111.229.106.212/111.229.106.212:6379
2024-12-26 14:32:52.324 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2024-12-26 14:32:52.892 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-12-26 14:32:52.948 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2024-12-26 14:32:52.960 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2024-12-26 14:32:52.974 [main] INFO  com.example.ssd.SpringBootDemoApplication - Started SpringBootDemoApplication in 4.773 seconds (process running for 5.236)
2024-12-26 14:32:53.454 [RMI TCP Connection(1)-192.168.0.87] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-26 14:32:53.454 [RMI TCP Connection(1)-192.168.0.87] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-12-26 14:32:53.455 [RMI TCP Connection(2)-192.168.0.87] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-12-26 14:32:53.456 [RMI TCP Connection(1)-192.168.0.87] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-12-26 14:32:54.079 [RMI TCP Connection(2)-192.168.0.87] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@41b8f9bf
2024-12-26 14:32:54.085 [RMI TCP Connection(2)-192.168.0.87] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-12-26 14:36:21.462 [http-nio-8081-exec-9] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 95
2024-12-26 14:36:21.462 [http-nio-8081-exec-5] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 91
2024-12-26 14:36:21.464 [http-nio-8081-exec-2] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 88
2024-12-26 14:36:21.464 [http-nio-8081-exec-4] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 90
2024-12-26 14:36:21.464 [http-nio-8081-exec-3] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 89
2024-12-26 14:36:21.465 [http-nio-8081-exec-1] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 87
2024-12-26 14:36:21.466 [http-nio-8081-exec-8] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 94
2024-12-26 14:36:21.475 [http-nio-8081-exec-7] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 93
2024-12-26 14:36:21.489 [http-nio-8081-exec-10] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 96
2024-12-26 14:36:21.554 [http-nio-8081-exec-12] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 115
2024-12-26 14:36:21.577 [http-nio-8081-exec-13] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 116
2024-12-26 14:36:21.596 [http-nio-8081-exec-14] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 117
2024-12-26 14:36:21.644 [http-nio-8081-exec-15] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 118
2024-12-26 14:36:21.671 [http-nio-8081-exec-11] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 114
2024-12-26 14:36:21.759 [http-nio-8081-exec-17] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 120
2024-12-26 14:36:21.802 [http-nio-8081-exec-18] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 121
2024-12-26 14:36:21.830 [http-nio-8081-exec-19] ERROR com.example.ssd.utils.GlobalExceptionHandler - attempt to unlock lock, not locked by current thread by node id: 22413730-f7df-469f-9aaa-71e516722488 thread-id: 122
